6239 = number of voxels 
9 = number of ROIs 
X-MNI,Y-MNI,Z-MNI,Lobe,Structure,Brodmann area,ROI-number [1...9] (if zero then not included in any ROI) 
-25,55,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
-25,60,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
-20,-100,0,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,1
-20,-85,0,Occipital Lobe,Lingual Gyrus,Brodmann area 17,1
-20,-70,0,Occipital Lobe,Lingual Gyrus,Brodmann area 19,1
-20,-65,0,Occipital Lobe,Lingual Gyrus,Brodmann area 19,1
-20,-55,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-20,50,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
-20,60,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
-20,65,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
-15,-100,0,Occipital Lobe,Cuneus,Brodmann area 18,1
-15,-95,0,Occipital Lobe,Cuneus,Brodmann area 17,1
-15,-90,0,Occipital Lobe,Lingual Gyrus,Brodmann area 17,1
-15,-85,0,Occipital Lobe,Lingual Gyrus,Brodmann area 17,1
-15,-80,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-15,-75,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-15,-70,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-15,-65,0,Occipital Lobe,Lingual Gyrus,Brodmann area 19,1
-15,-55,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-15,-50,0,Occipital Lobe,Lingual Gyrus,Brodmann area 19,1
-15,-45,0,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 30,5
-15,-35,0,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 27,5
-15,45,0,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
-15,50,0,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
-15,55,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
-15,65,0,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
-10,-100,0,Occipital Lobe,Cuneus,Brodmann area 17,1
-10,-95,0,Occipital Lobe,Cuneus,Brodmann area 17,1
-10,-90,0,Occipital Lobe,Lingual Gyrus,Brodmann area 17,1
-10,-80,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-10,-75,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-10,-70,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-10,-65,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-10,-60,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-10,-55,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-10,-50,0,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 30,5
-10,-45,0,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 30,5
-10,-40,0,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 30,5
-10,-35,0,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 27,5
-10,45,0,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
-10,50,0,Limbic Lobe,Anterior Cingulate,Brodmann area 10,0
-10,55,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
-10,65,0,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
-5,-100,0,Occipital Lobe,Cuneus,Brodmann area 18,1
-5,-95,0,Occipital Lobe,Cuneus,Brodmann area 17,1
-5,-90,0,Occipital Lobe,Lingual Gyrus,Brodmann area 17,1
-5,-80,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-5,-75,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-5,-70,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-5,-65,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
-5,30,0,Limbic Lobe,Anterior Cingulate,Brodmann area 24,7
-5,35,0,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
-5,40,0,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
-5,45,0,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
-5,50,0,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
-5,55,0,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
-5,60,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
-5,65,0,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
0,-100,0,Occipital Lobe,Cuneus,Brodmann area 18,1
0,-95,0,Occipital Lobe,Cuneus,Brodmann area 18,1
0,-90,0,Occipital Lobe,Lingual Gyrus,Brodmann area 17,1
0,-85,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
0,-80,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
0,45,0,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
0,50,0,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
5,-100,0,Occipital Lobe,Cuneus,Brodmann area 18,1
5,-95,0,Occipital Lobe,Cuneus,Brodmann area 17,1
5,-90,0,Occipital Lobe,Lingual Gyrus,Brodmann area 17,1
5,-85,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
5,-80,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
5,-75,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
5,-70,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
5,-65,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
5,30,0,Limbic Lobe,Anterior Cingulate,Brodmann area 24,7
5,35,0,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
5,40,0,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
5,45,0,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
5,50,0,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
5,55,0,Limbic Lobe,Anterior Cingulate,Brodmann area 10,0
5,60,0,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
5,65,0,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
10,-100,0,Occipital Lobe,Cuneus,Brodmann area 17,1
10,-95,0,Occipital Lobe,Cuneus,Brodmann area 17,1
10,-90,0,Occipital Lobe,Lingual Gyrus,Brodmann area 17,1
10,-75,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
10,-70,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
10,-65,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
10,-60,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
10,-55,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
10,-50,0,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 30,5
10,-45,0,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 30,5
10,-40,0,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 30,5
10,-35,0,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 27,5
10,45,0,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
10,50,0,Limbic Lobe,Anterior Cingulate,Brodmann area 10,0
10,55,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
10,65,0,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
15,-100,0,Occipital Lobe,Cuneus,Brodmann area 18,1
15,-95,0,Occipital Lobe,Cuneus,Brodmann area 17,1
15,-90,0,Occipital Lobe,Lingual Gyrus,Brodmann area 17,1
15,-85,0,Occipital Lobe,Lingual Gyrus,Brodmann area 17,1
15,-80,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
15,-75,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
15,-70,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
15,-65,0,Occipital Lobe,Lingual Gyrus,Brodmann area 19,1
15,-55,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
15,-50,0,Occipital Lobe,Lingual Gyrus,Brodmann area 19,1
15,-45,0,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 30,5
15,-35,0,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 27,5
15,45,0,Limbic Lobe,Anterior Cingulate,Brodmann area 32,0
15,50,0,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
15,55,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
15,65,0,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
20,-100,0,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,1
20,-85,0,Occipital Lobe,Lingual Gyrus,Brodmann area 17,1
20,-70,0,Occipital Lobe,Lingual Gyrus,Brodmann area 19,1
20,-65,0,Occipital Lobe,Lingual Gyrus,Brodmann area 19,1
20,-55,0,Occipital Lobe,Lingual Gyrus,Brodmann area 18,1
20,-50,0,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 30,5
20,45,0,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
20,50,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
20,60,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
20,65,0,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
25,-95,0,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,1
25,-70,0,Occipital Lobe,Lingual Gyrus,Brodmann area 19,1
25,-65,0,Occipital Lobe,Lingual Gyrus,Brodmann area 19,1
25,-55,0,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 30,5
25,50,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
25,55,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
25,60,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
25,65,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
30,-95,0,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,1
30,-90,0,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,1
30,-85,0,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,1
30,25,0,Sub-lobar,Insula,Brodmann area 13,8
30,50,0,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 10,4
30,55,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
30,60,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
35,-90,0,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,1
35,15,0,Sub-lobar,Insula,Brodmann area 13,8
35,20,0,Sub-lobar,Extra-Nuclear,Brodmann area 47,0
35,25,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
35,55,0,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 10,4
35,60,0,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
40,-90,0,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,1
40,-65,0,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 37,1
40,-5,0,Sub-lobar,Insula,Brodmann area 13,8
40,0,0,Sub-lobar,Insula,Brodmann area 13,8
40,10,0,Sub-lobar,Insula,Brodmann area 13,8
40,15,0,Sub-lobar,Insula,Brodmann area 13,8
40,20,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
40,25,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
40,55,0,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 10,4
45,-70,0,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 37,1
45,-65,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 37,3
45,-60,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 37,3
45,-20,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
45,-15,0,Sub-lobar,Insula,Brodmann area 13,8
45,-10,0,Sub-lobar,Insula,Brodmann area 13,8
45,-5,0,Sub-lobar,Insula,Brodmann area 13,8
45,0,0,Sub-lobar,Insula,Brodmann area 13,8
45,5,0,Sub-lobar,Insula,Brodmann area 13,8
45,10,0,Sub-lobar,Insula,Brodmann area 13,8
45,15,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
45,20,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
45,45,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 10,4
45,50,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 10,4
50,-70,0,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 37,1
50,-65,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 37,3
50,-60,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 37,3
50,-35,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
50,-30,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
50,-10,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
50,-5,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
50,0,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
50,5,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
50,10,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
50,15,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
50,20,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
50,25,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
50,35,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
50,40,0,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 47,4
55,-70,0,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 37,1
55,-65,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 37,3
55,-45,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 22,3
55,-40,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 22,3
55,-35,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 22,3
55,-30,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
55,-25,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
55,-10,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
55,5,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
55,10,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
55,20,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
55,25,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
55,30,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
55,35,0,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
60,-60,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
60,-55,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
60,-50,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 22,3
60,-40,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
60,-35,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 22,3
60,-30,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
60,-25,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
60,-15,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
60,-10,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
60,-5,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
60,5,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
65,-55,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
65,-50,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
65,-45,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
65,-40,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
65,-35,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 22,3
65,-30,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
65,-25,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
65,-20,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
65,-15,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
65,-10,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 21,3
65,-5,0,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 21,3
70,-35,0,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 22,3
-65,-50,5,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-65,-45,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-65,-35,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-65,-30,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 42,3
-65,-25,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-65,-20,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-65,-15,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-65,-10,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-60,-65,5,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 37,3
-60,-50,5,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-60,-45,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-60,-35,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-60,-30,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-60,-10,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-60,-5,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-60,0,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-55,-75,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-55,-70,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-55,-45,5,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-55,-35,5,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 22,3
-55,-30,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-55,-25,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 41,3
-55,-20,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 41,3
-55,-10,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-55,-5,5,Frontal Lobe,Precentral Gyrus,Brodmann area 6,4
-55,0,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-55,15,5,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 45,4
-55,20,5,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 45,4
-55,25,5,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 45,4
-55,30,5,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 45,4
-55,35,5,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 45,4
-50,-70,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-50,-65,5,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 37,3
-50,-35,5,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 22,3
-50,-30,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-50,-25,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 41,3
-50,-15,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-50,-10,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-50,-5,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,3
-50,0,5,Frontal Lobe,Precentral Gyrus,Brodmann area 44,4
-50,20,5,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 45,4
-50,25,5,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
-50,40,5,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 46,4
-45,-85,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-45,-80,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-45,-75,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-45,-70,5,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 37,3
-45,-30,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 41,3
-45,-25,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 41,3
-45,-20,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 13,3
-45,-15,5,Sub-lobar,Insula,Brodmann area 13,8
-45,-10,5,Sub-lobar,Insula,Brodmann area 13,8
-45,-5,5,Sub-lobar,Insula,Brodmann area 13,8
-45,0,5,Frontal Lobe,Precentral Gyrus,Brodmann area 44,4
-45,5,5,Sub-lobar,Insula,Brodmann area 13,8
-45,10,5,Sub-lobar,Insula,Brodmann area 13,8
-45,15,5,Sub-lobar,Insula,Brodmann area 13,8
-45,20,5,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 45,4
-45,50,5,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 10,4
-40,-90,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-40,-85,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-40,-80,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-40,-75,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-40,-70,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-40,-65,5,Occipital Lobe,Middle Temporal Gyrus,Brodmann area 37,1
-40,-35,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 41,3
-40,-30,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 41,3
-40,-25,5,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 13,3
-40,-20,5,Sub-lobar,Insula,Brodmann area 13,8
-40,-15,5,Sub-lobar,Insula,Brodmann area 13,8
-40,-10,5,Sub-lobar,Insula,Brodmann area 13,8
-40,-5,5,Sub-lobar,Insula,Brodmann area 13,8
-40,0,5,Sub-lobar,Insula,Brodmann area 13,8
-40,15,5,Sub-lobar,Insula,Brodmann area 13,8
-40,20,5,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 45,4
-40,25,5,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,4
-40,50,5,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 10,4
-40,55,5,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 10,4
-35,-90,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-35,-85,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-35,-25,5,Sub-lobar,Insula,Brodmann area 13,8
-35,20,5,Sub-lobar,Insula,Brodmann area 13,8
-35,25,5,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 45,4
-35,50,5,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 10,4
-35,55,5,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 10,4
-30,-95,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,1
-30,-85,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-30,25,5,Sub-lobar,Insula,Brodmann area 45,8
-30,55,5,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 10,4
-30,60,5,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 10,4
-25,-95,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,1
-25,-90,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,1
-25,-70,5,Limbic Lobe,Posterior Cingulate,Brodmann area 30,6
-25,50,5,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
-25,55,5,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
-25,60,5,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,4
-20,-100,5,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,1
-20,-85,5,Occipital Lobe,Cuneus,Brodmann area 17,1
-20,-70,5,Limbic Lobe,Posterior Cingulate,Brodmann area 30,6
-20,-65,5,Limbic Lobe,Posterior Cingulate,Brodmann area 30,6
-20,-60,5,Limbic Lobe,Posterior Cingulate,Brodmann area 30,6
-15,-100,5,Occipital Lobe,Cuneus,Brodmann area 18,1
-15,-90,5,Occipital Lobe,Cuneus,Brodmann area 17,1
-15,-85,5,Occipital Lobe,Cuneus,Brodmann area 17,1
-15,-60,5,Limbic Lobe,Posterior Cingulate,Brodmann area 30,6
-15,-55,5,Limbic Lobe,Posterior Cingulate,Brodmann area 30,6
-15,45,5,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
-15,55,5,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
-15,60,5,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
-10,-90,5,Occipital Lobe,Cuneus,Brodmann area 17,1
-10,-85,5,Occipital Lobe,Cuneus,Brodmann area 17,1
-10,-60,5,Occipital Lobe,Cuneus,Brodmann area 30,1
-10,-55,5,Limbic Lobe,Posterior Cingulate,Brodmann area 30,6
-10,-50,5,Limbic Lobe,Posterior Cingulate,Brodmann area 29,6
-10,-45,5,Limbic Lobe,Posterior Cingulate,Brodmann area 29,6
-10,45,5,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
-10,55,5,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
-10,60,5,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
-5,-100,5,Occipital Lobe,Cuneus,Brodmann area 18,1
-5,-95,5,Occipital Lobe,Cuneus,Brodmann area 18,1
-5,-90,5,Occipital Lobe,Cuneus,Brodmann area 17,1
-5,-85,5,Occipital Lobe,Cuneus,Brodmann area 17,1
-5,-70,5,Occipital Lobe,Cuneus,Brodmann area 30,1
-5,-65,5,Occipital Lobe,Cuneus,Brodmann area 30,1
-5,-60,5,Limbic Lobe,Posterior Cingulate,Brodmann area 30,6
-5,-55,5,Limbic Lobe,Posterior Cingulate,Brodmann area 30,6
-5,-50,5,Limbic Lobe,Posterior Cingulate,Brodmann area 29,6
-5,35,5,Limbic Lobe,Anterior Cingulate,Brodmann area 24,7
-5,40,5,Limbic Lobe,Anterior Cingulate,Brodmann area 32,7
-5,50,5,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
-5,55,5,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
-5,60,5,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
-5,65,5,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,4
0,-100,5,Occipital Lobe,Cuneus,Brodmann area 18,1
0,-95,5,Occipital Lobe,Cuneus,Brodmann area 18,1
5,-100,5,Occipital Lobe,Cuneus,Brodmann area 18,1
5,-95,5,Occipital Lobe,Cuneus,Brodmann area 18,1
5,-90,5,Occipital Lobe,Cuneus,Brodmann area 17,1
5,-85,5,Occipital Lobe,Cuneus,Brodmann area 17,1
5,-80,5,Occipital Lobe,Cuneus,Brodmann area 18,1
5,-75,5,Occipital Lobe,Cuneus,Brodmann area 30,1
5,-70,5,Occipital Lobe,Cuneus,Brodmann area 30,1
5,-65,5,Occipital Lobe,Cuneus,Brodmann area 30,1
5,-60,5,Limbic Lobe,Posterior Cingulate,Brodmann area 30,6
5,-55,5,Limbic Lobe,Posterior Cingulate,Brodmann area 30,6
5,-50,5,Limbic Lobe,Posterior Cingulate,Brodmann area 29,6
5,35,5,Limbic Lobe,Anterior Cingulate,Brodmann area 24,7
